time;msg_out;bytes_out
1575980063.683414;749;5392800
1575980064.685065;852;6134400
1575980065.685949;727;5234400
1575980066.692902;630;4536000
1575980067.697212;546;3931200
1575980068.699064;682;4910400
1575980069.707045;473;3405600
1575980070.715491;505;3636000
1575980071.745693;80;576000
1575980072.749259;637;4586400
1575980073.836105;213;1533600
1575980074.838190;0;0
1575980075.840373;0;0
1575980076.882406;2;14400
1575980077.889853;489;3520800
1575980078.902757;108;777600
1575980079.927938;49;352800
1575980080.930181;0;0
1575980082.018240;173;1245600
1575980083.099501;218;1569600
1575980084.162737;277;1994400
1575980085.170179;139;1000800
1575980086.183034;135;972000
1575980087.189030;244;1756800
1575980088.194613;5;36000
1575980089.210027;152;1094400
1575980090.251827;6;43200
1575980091.253998;0;0
1575980092.264538;137;986400
1575980093.266610;0;0
1575980094.306739;237;1706400
1575980095.403218;183;1317600
1575980096.413648;327;2354400
1575980097.485187;96;691200
1575980098.523351;67;482400
1575980099.525562;0;0
1575980100.527682;0;0
1575980101.529804;0;0
1575980102.619758;18;129600
1575980103.716062;268;1929600
1575980104.718259;0;0
1575980105.785373;74;532800
1575980106.787560;0;0
1575980107.799369;0;0
1575980108.801578;0;0
1575980109.809532;2;14400
1575980110.867239;5;36000
1575980111.876795;3;21600
1575980112.926733;10;72000
1575980113.974735;6;43200
1575980115.025404;11;79200
1575980116.082971;1;7200
1575980117.139357;2;14400
1575980118.209281;2;14400
1575980119.276402;1;7200
1575980120.303413;482;3470400
1575980121.315183;81;583200
1575980122.317015;157;1130400
1575980123.319244;219;1576800
1575980124.323206;289;2080800
1575980125.381644;246;1771200
1575980126.387604;204;1468800
1575980127.399378;392;2822400
1575980128.405191;361;2599200
1575980129.409195;313;2253600
1575980130.412373;278;2001600
1575980131.416584;68;489600
1575980132.423382;484;3484800
1575980133.427198;284;2044800
1575980134.427339;325;2340000
1575980135.433332;306;2203200
1575980136.434353;236;1699200
1575980137.512949;150;1080000
1575980138.596562;237;1706400
1575980139.597388;282;2030400
1575980140.602238;252;1814400
1575980141.614490;231;1663200
1575980142.615467;111;799200
1575980143.617391;341;2455200
1575980144.708684;71;511200
1575980145.716398;281;2023200
1575980146.799517;332;2390400
1575980147.801462;367;2642400
1575980148.817432;228;1641600
1575980149.820348;238;1713600
1575980150.827488;222;1598400
1575980151.831680;214;1540800
1575980152.891045;130;936000
1575980153.909618;142;1022400
1575980154.909850;149;1072800
1575980155.921610;137;986400
1575980156.955935;70;504000
1575980157.962843;211;1519200
1575980158.967533;160;1152000
1575980159.968648;161;1159200
1575980160.983893;151;1087200
1575980161.985854;140;1008000
1575980163.006970;170;1224000
1575980164.017649;187;1346400
1575980165.017994;193;1389600
1575980166.026735;222;1598400
1575980167.029743;207;1490400
1575980168.046822;168;1209600
1575980169.052281;226;1627200
1575980170.057682;163;1173600
1575980171.067704;154;1108800
1575980172.073060;195;1404000
1575980173.076778;177;1274400
1575980174.095238;223;1605600
1575980175.121593;163;1173600
1575980176.125104;129;928800
1575980177.126206;109;784800
1575980178.166853;60;432000
1575980179.169139;0;0
1575980180.181205;162;1166400
1575980181.242887;4;28800
1575980182.245085;0;0
1575980183.257961;295;2124000
1575980184.270523;218;1569600
1575980185.277108;395;2844000
1575980186.280090;399;2872800
1575980187.287962;404;2908800
1575980188.288305;374;2692800
1575980189.288885;430;3096000
1575980190.296088;461;3319200
1575980191.304062;483;3477600
1575980192.309421;451;3247200
1575980193.313718;259;1864800
1575980194.318360;460;3312000
1575980195.380476;39;280800
1575980196.386015;574;4132800
1575980197.390058;278;2001600
1575980198.405958;317;2282400
1575980199.459971;354;2548800
1575980200.464367;420;3024000
1575980201.478148;365;2628000
1575980202.478602;372;2678400
1575980203.486219;347;2498400
1575980204.495267;369;2656800
1575980205.508187;476;3427200
1575980206.514253;383;2757600
1575980207.519140;404;2908800
1575980208.525905;423;3045600
1575980209.530578;422;3038400
1575980210.530608;369;2656800
1575980211.531255;434;3124800
1575980212.535498;457;3290400
1575980213.544378;434;3124800
1575980214.581023;130;936000
1575980215.649462;292;2102400
1575980216.650340;494;3556800
1575980217.658577;333;2397600
1575980218.664291;318;2289600
1575980219.664318;433;3117600
1575980220.674417;407;2930400
1575980221.680402;431;3103200
1575980222.695679;411;2959200
1575980223.702795;440;3168000
1575980224.705171;194;1396800
1575980225.724558;370;2664000
1575980226.812499;123;885600
1575980227.816855;310;2232000
1575980228.825652;531;3823200
1575980229.830890;350;2520000
1575980230.847673;329;2368800
1575980231.849424;409;2944800
1575980232.855594;323;2325600
1575980233.858196;83;597600
1575980234.865583;637;4586400
1575980235.878863;224;1612800
1575980236.881543;426;3067200
1575980237.976377;134;964800
1575980239.073436;500;3600000
1575980240.104814;201;1447200
1575980241.150060;439;3160800
1575980242.167173;517;3722400
1575980243.190753;16;115200
1575980244.192574;311;2239200
1575980245.288757;6;43200
1575980246.290715;120;864000
1575980247.378453;134;964800
1575980248.416049;426;3067200
1575980249.439209;182;1310400
1575980250.487944;64;460800
1575980251.488053;416;2995200
1575980252.489752;304;2188800
1575980253.558542;94;676800
1575980254.565911;363;2613600
1575980255.570400;349;2512800
1575980256.570390;332;2390400
1575980257.599924;293;2109600
1575980258.619419;273;1965600
1575980259.621011;205;1476000
1575980260.626826;295;2124000
1575980261.702250;202;1454400
1575980262.723847;538;3873600
1575980263.735130;377;2714400
1575980264.736801;385;2772000
1575980265.744953;345;2484000
1575980266.754983;327;2354400
1575980267.756150;360;2592000
1575980268.763020;199;1432800
1575980269.806166;80;576000
1575980270.843988;120;864000
1575980271.846200;427;3074400
1575980272.901367;483;3477600
1575980273.913087;346;2491200
1575980274.926624;362;2606400
1575980275.944233;208;1497600
1575980276.949271;321;2311200
1575980277.978609;250;1800000
1575980279.018777;40;288000
1575980280.075992;112;806400
1575980281.119202;445;3204000
1575980282.169430;1;7200
1575980283.219326;378;2721600
1575980284.263180;423;3045600
1575980285.265352;0;0
1575980286.268342;491;3535200
1575980287.335918;27;194400
1575980288.359843;2;14400
1575980289.421892;444;3196800
1575980290.424063;0;0
1575980291.425377;260;1872000
1575980292.433323;553;3981600
1575980293.436108;339;2440800
1575980294.436403;349;2512800
1575980295.445257;353;2541600
1575980296.450384;252;1814400
1575980297.456392;484;3484800
1575980298.467405;353;2541600
1575980299.508450;435;3132000
1575980300.525371;437;3146400
1575980301.592640;292;2102400
1575980302.625535;79;568800
1575980303.633708;563;4053600
1575980304.645585;217;1562400
1575980305.657564;323;2325600
1575980306.666535;236;1699200
1575980307.695145;200;1440000
1575980308.737211;209;1504800
1575980309.744550;117;842400
1575980310.745467;104;748800
1575980311.785965;69;496800
1575980312.859924;45;324000
1575980313.869231;139;1000800
1575980314.872305;213;1533600
1575980315.908976;325;2340000
1575980316.917265;303;2181600
1575980317.923242;409;2944800
1575980319.014336;201;1447200
1575980320.019725;250;1800000
1575980321.059076;270;1944000
1575980322.128945;223;1605600
1575980323.164570;30;216000
1575980324.172945;136;979200
1575980325.200190;113;813600
1575980326.202340;0;0
1575980327.204414;0;0
1575980328.207470;81;583200
1575980329.217545;340;2448000
1575980330.276330;166;1195200
1575980331.276611;470;3384000
1575980332.286851;255;1836000
1575980333.382742;65;468000
1575980334.397294;159;1144800
1575980335.399497;0;0
1575980336.401639;0;0
1575980337.403846;0;0
1575980338.429727;2;14400
1575980339.520038;406;2923200
1575980340.520705;213;1533600
1575980341.531964;585;4212000
1575980342.545934;224;1612800
1575980343.548164;0;0
1575980344.550300;0;0
1575980345.552389;0;0
