time;RSSI;RSRP;SINR;RSRQ;TX POWER;PCC RXD RSRP;PCC RXD RSSI;PCC RXM RSRP;PCC RXM RSSI;SCC RXD RSRP;SCC RXD RSSI;SCC RXM RSRP;SCC RXM RSSI;BAND;BW;RX CHAN;TX CHAN;SCELL BAND;SCELL BW;SCELL CHAN;CELLID;TAC;IP;network;interface
1575982942.774;-81.0;-108.0;5.4;-9.3;23.0;-140.0;-98.0;-108.0;-81.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982942.958;-81.0;-108.0;4.8;-9.3;22.0;-140.0;-98.0;-108.0;-81.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982943.052;-81.0;-107.0;6.4;-9.1;23.0;-140.0;-98.0;-107.0;-81.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982943.175;-83.0;-107.0;5.4;-9.4;23.0;-140.0;-98.0;-107.0;-83.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982943.289;-82.0;-107.0;7.2;-9.2;0.0;-140.0;-98.0;-107.0;-82.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982943.503;-82.0;-107.0;6.4;-8.9;0.0;-140.0;-98.0;-107.0;-82.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982943.637;-78.0;-107.0;5.6;-9.3;0.0;-140.0;-98.0;-107.0;-78.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982943.943;-78.0;-107.0;3.6;-10.6;23.0;-140.0;-98.0;-107.0;-78.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982944.209;-78.0;-107.0;6.8;-11.5;23.0;-140.0;-99.0;-107.0;-78.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982944.332;-78.0;-107.0;5.6;-11.7;23.0;-140.0;-98.0;-107.0;-78.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982944.456;-79.0;-107.0;5.6;-11.1;23.0;-140.0;-98.0;-107.0;-79.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982944.631;-82.0;-107.0;5.8;-10.3;0.0;-140.0;-98.0;-107.0;-82.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982944.805;-78.0;-107.0;6.0;-10.6;0.0;-140.0;-97.0;-107.0;-78.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982944.989;-81.0;-107.0;6.4;-9.5;22.0;-140.0;-99.0;-107.0;-81.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982945.134;-80.0;-107.0;5.2;-9.4;23.0;-140.0;-98.0;-107.0;-80.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982945.248;-81.0;-107.0;2.2;-9.8;23.0;-140.0;-98.0;-107.0;-81.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982945.382;-78.0;-107.0;6.8;-9.8;23.0;-140.0;-98.0;-107.0;-78.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982945.445;-78.0;-107.0;5.8;-10.0;23.0;-140.0;-98.0;-107.0;-78.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982945.731;-78.0;-107.0;6.6;-10.8;23.0;-140.0;-98.0;-107.0;-78.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982945.855;-80.0;-107.0;6.2;-10.2;23.0;-140.0;-98.0;-107.0;-80.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982945.968;-79.0;-107.0;6.0;-9.7;23.0;-140.0;-98.0;-107.0;-79.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982946.153;-80.0;-107.0;6.2;-9.5;0.0;-140.0;-98.0;-107.0;-80.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
